id,answer,explanation
0,metal,There is a yellow metallic cylinder that is right of the tiny rubber sphere that is in front of the red metal block.
1,no,There are no things that have the same shape as a small red sphere.
2,rubber,There is a big matte block which is on the left side of the metallic cube that is in front of the metal sphere that is behind the brown cube.
3,no,There is a big purple sphere and there are two red cubes.
4,cylinder,There is a small brown matte cylinder that has the same material as a large blue sphere.
5,small,There is a tiny metallic cylinder which is on the right side of the small gray metal cylinder.
6,yes,The small cube is blue and the metal cylinder to the left of a large brown shiny sphere is blue.
7,0,There are no purple things.
8,yes,There are no large gray cubes that are behind the large rubber cube and there are no tiny cyan metal balls.
9,yes,There is a green cylinder which has the identical color as a large rubber cube.
10,rubber,The tiny block on the right side of the gray rubber cube is matte.
11,no,There is a gray cylinder and there are two tiny cylinders.
12,yes,There is a matte sphere that is to the left of the tiny green cube and there are no small cyan shiny things.
13,no,There are no big purple cylinders which have the identical material as a green sphere.
14,cyan,There is a cyan sphere behind the large cyan block and to the right of the small blue metal cylinder.
15,cube,There is the red cube that has the same color as a large rubber ball.
16,yes,There are no green metal balls and there are two cyan shiny spheres.
17,no,The big gray metal object is a block and the brown matte thing is a cylinder.
18,small,There is a small blue matte cube that is right of the small cyan block.
19,small,There is a small rubber sphere that is behind the big metal cube that is in front of the cyan shiny ball.
20,rubber,There is a large cyan rubber cube that has the same color as a large metal block.
21,cyan,There is a cyan shiny ball which is to the right of the large blue metal cylinder.
22,yes,The big cube is cyan and the sphere is cyan.
23,0,No big purple things have the same material as a big purple cube.
24,small,There is a small blue matte block which is to the left of the matte cylinder that is left of the big green cube.
25,cube,There is a tiny red rubber block which has the identical color as a metal cylinder.
26,yes,There is a red rubber cylinder and there is a large red metal cylinder that is to the right of the small red metallic cylinder.
27,no,There are three shiny cylinders and there are two big purple cylinders.
28,no,There is a big rubber ball that is to the left of the tiny purple rubber sphere and there is a tiny metal cylinder which is behind the large ball.
29,cube,There is the big rubber block which has the identical material as a blue ball.
30,yes,The tiny rubber block in front of the yellow ball is gray and the rubber cylinder is gray.
31,cylinder,There is the blue shiny cylinder which has the identical color as a rubber cylinder.
32,yes,There is a large red shiny cube and there is a tiny red shiny cube.
33,metal,There is a large metal cylinder which is behind the metallic cube that is left of the large cylinder that is behind the big cyan metal cylinder.
34,cylinder,The large cyan cylinder has the same size as a gray matte block.
35,no,There are no gray cylinders which have the identical material as a red cylinder.
36,brown,There is a brown matte cube which is to the right of the gray cylinder that is right of the tiny cube that is in front of the tiny yellow metallic cube.
37,no,There are no red rubber cubes that are to the left of the brown matte cube and there are no small red rubber blocks.
38,cube,There is a red cube that is to the left of the small metal block that is right of the cyan shiny cylinder.
39,no,There are no things which have the identical material as a big purple sphere.
40,1,There is a ball.
41,no,There are no things that have the same size as a purple shiny cylinder.
42,yes,There is a large cyan matte sphere and there is a tiny blue rubber cylinder that is behind the brown metal cylinder.
43,large,The large red rubber cube has the same material as a purple ball.
44,yes,There is a purple metallic cube that has the same color as a small sphere.
45,metal,There is the small brown metallic block which has the identical color as a large metallic block.
46,sphere,There is the red rubber ball which has the identical material as a large cyan ball.
47,cylinder,There is the large gray cylinder which has the identical size as a metallic sphere.
48,no,The gray ball is metallic and the big gray cylinder is matte.
49,no,There are no things that have the same size as a green cylinder.
50,yes,There are two brown cylinders which have the identical color as a large matte block.
51,1,There is a blue cube that has the same color as a small metallic cube.
52,0,There are no balls which are on the left side of the cylinder.
53,rubber,The cyan matte cylinder has the same color as a large ball.
54,yes,There is a small gray matte cube and there is a gray matte block which is behind the red cylinder.
55,large,There is a large purple metal cylinder which has the identical color as a small block.
56,0,There are no large purple cylinders which are on the left side of the cyan cylinder that is behind the large brown ball.
57,cylinder,There is a big cylinder that is left of the large matte cylinder that is in front of the purple sphere.
58,rubber,There is a small rubber cube that is right of the tiny green cylinder.
59,1,There is a yellow cube that has the same color as a big rubber block.
60,yes,There are no blue rubber cubes that are behind the cyan matte ball and there are no tiny red cylinders.
61,metal,There is the tiny gray metallic cylinder which has the identical size as a cube.
62,1,There is a gray ball which has the identical color as a big metallic cylinder.
63,yes,The blue thing is a block and the tiny thing behind the blue matte cube is a cube.
64,1,There is a large purple sphere.
65,cylinder,The large purple cylinder has the same size as a cyan ball.
66,yes,There is a purple metal cylinder that has the same material as a big green block.
67,yes,The tiny cylinder is metallic and the purple sphere is metallic.
68,no,The purple cylinder behind the purple sphere is small and the purple cylinder left of the small cyan metal block is large.
69,2,There are two metallic balls which are behind the large ball that is right of the big yellow rubber sphere.
70,0,There are no small cyan shiny things that are to the left of the big matte cube that is left of the rubber block that is right of the large gray rubber cube.
71,0,There are no metallic things that are behind the gray cylinder.
72,no,No things have the same shape as a big rubber block.
73,yes,There is a tiny blue cylinder that has the same color as a small cube.
74,1,There is a cyan cylinder.
75,no,There are no things that have the same size as a green rubber ball.
76,0,There are no blocks to the right of the big blue block and behind the blue rubber sphere.
77,yes,There is a big metal sphere and there is a large gray matte block.
78,rubber,There is a small blue rubber cylinder which is behind the small brown cylinder.
79,rubber,There is a small blue matte ball.
80,4,"There are two metallic spheres, a metallic cube and a metallic cylinder which have the identical material as a small gray block."
81,1,There is a gray metallic sphere which has the identical material as a tiny cube.
82,cube,There is a small gray cube that has the same color as a matte ball.
83,cyan,There is a tiny cyan rubber cube that has the same size as a yellow rubber cylinder.
84,small,There is a tiny red block which has the identical shape as a tiny cyan metal block.
85,no,There are no small gray cylinders which have the identical material as a large cyan ball.
86,large,There is a big metallic cylinder.
87,no,There are no gray rubber cylinders that are in front of the blue rubber cube and there are no large cubes that are left of the purple cylinder.
88,metal,There is the big cyan metallic block which has the identical color as a tiny matte sphere.
89,no,There are no things which have the identical size as a yellow metallic block.
90,small,There is a small red metallic ball which has the identical shape as a tiny cyan rubber ball.
91,yes,The brown cube is metallic and the purple ball is shiny.
92,3,There are a large blue cube and sphere and there is a big purple sphere.
93,metal,There is the blue metal cylinder which has the identical color as a large rubber cylinder.
94,cylinder,There is the small yellow matte cylinder which has the identical color as a small sphere.
95,no,The purple sphere is matte and the small ball behind the purple matte ball is metallic.
96,yes,There is a big blue rubber ball which has the identical size as a gray matte cylinder.
97,cube,There is a yellow matte block which has the identical color as a large shiny cube.
98,no,There is a blue cylinder which is on the left side of the tiny red metal cylinder and there is a big green cylinder.
99,yes,There are two big metallic cubes which are on the right side of the tiny rubber cylinder and there is a large purple shiny block which is in front of the large gray cube.
100,gray,There is the gray shiny cube that has the same shape as a brown metal cube.
101,small,There is a small shiny sphere behind the large shiny cylinder and in front of the green shiny block.
102,1,There is the blue shiny cube that has the same material as a cyan block.
103,yes,The big rubber cylinder is red and the large matte sphere is red.
104,sphere,There is a cyan metallic ball which has the identical color as a big matte sphere.
105,rubber,There is a rubber sphere that is in front of the shiny block that is in front of the matte cylinder that is left of the tiny matte cylinder.
106,rubber,There is a large brown rubber ball which is on the left side of the metal cylinder that is left of the shiny cylinder that is behind the green metal sphere.
107,no,There is a tiny blue matte ball and there is a shiny block which is on the right side of the large yellow cube.
108,no,No things have the same size as a red cylinder.
109,large,There is a large green metallic cylinder that has the same shape as a small green matte cylinder.
110,cylinder,There is a large green metallic cylinder.
111,0,There are no small blocks that are behind the red cylinder that is in front of the yellow cube that is behind the small yellow shiny cube.
112,no,The cyan metal ball is tiny and the yellow cylinder is big.
113,no,There are no tiny shiny things which have the identical shape as a small green ball.
114,no,There is a tiny block which is on the right side of the gray cube and there is a large metal cube that is behind the rubber cylinder.
115,no,The large yellow metallic object is a cylinder and the tiny matte object in front of the cylinder is a ball.
116,yes,The sphere in front of the tiny rubber cube is yellow and the matte block to the left of the tiny rubber block is yellow.
117,no,There are no big gray things that are in front of the big red cube and there is a brown metal block.
118,no,There are no things that have the same material as a small cube.
